Column,Data Type,Missing Count,Missing %,Unique Values,Sample Value,Min,Max
InvoiceNo,int64,0,0.0,18532,536365,536365,581587
StockCode,str,0,0.0,3665,85123A,N/A,N/A
Description,str,0,0.0,3877,WHITE HANGING HEART T-LIGHT HOLDER,N/A,N/A
Quantity,int64,0,0.0,301,6,1,80995
InvoiceDate,datetime64[us],0,0.0,17282,2010-12-01 08:26:00,N/A,N/A
UnitPrice,float64,0,0.0,440,2.55,0.001,8142.75
CustomerID,int64,0,0.0,4338,17850,12346,18287
Country,str,0,0.0,37,United Kingdom,N/A,N/A
Year,int64,0,0.0,2,2010,2010,2011
Month,int64,0,0.0,12,12,1,12
MonthName,str,0,0.0,12,December,N/A,N/A
DayOfWeek,str,0,0.0,6,Wednesday,N/A,N/A
Hour,int64,0,0.0,15,8,6,20
IsReturn,bool,0,0.0,1,False,False,False
Revenue,float64,0,0.0,2837,15.3,0.001,168469.6
